invoice_id,deal_id,invoice_type,invoice_date,invoice_due_date,paid_date,invoice_status,dunning_status,invoice_amount,delay_in_days,delay_bool,invoice_month,due_day,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount,schufa_score,postal_code,date_of_birth,loyalty_status,schufa_group,deposit,deal_term_group,deal_monthly_amount_group,invoice_amount_group,age,age_group,due_day_group
in_1O7LIODOkQuZ6Q4MVVLM9J2W,15230485089,monthly,2023-10-31,2023-11-07,2023-10-31,paid,,708.0,-7.0,False,10,7,77009901.0,12,708.0,19/09/2023,0.0,9935.0,58638.0,1963-08-25,platinum,"9,750 - 10000",False,7 - 12,500 - 999,500 - 999,60.0,60-69,8-12
in_1O7LKlDOkQuZ6Q4MBQw1Dxz8,13896136962,monthly,2023-10-31,2023-11-07,2023-10-31,paid,,1048.0,-7.0,False,10,7,354399101.0,12,1048.0,28/06/2023,0.0,9745.0,36043.0,1996-09-29,platinum,"9,500 - 9,749",False,7 - 12,"1,000 - 1,499","1,000 - 1,499",27.0,20-29,8-12
in_1O7LLNHfRoBp5g8K35ugPiIS,13291795737,monthly,2023-10-31,2023-11-07,2023-11-03,paid,,1078.2,-4.0,False,10,7,74729601.0,12,1078.2,10/05/2023,0.0,9778.0,38228.0,1979-04-26,platinum,"9,750 - 10000",False,7 - 12,"1,000 - 1,499","1,000 - 1,499",44.0,40-49,8-12
in_1O7SpxDOkQuZ6Q4MYPEf3M33,11029925493,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,529.2,-5.0,False,11,8,337192351.0,13,529.2,21/11/2022,0.0,9888.0,60316.0,1977-09-05,gold,"9,750 - 10000",False,13 - 18,500 - 999,500 - 999,46.0,40-49,8-12
in_1O7Sq2DOkQuZ6Q4M6jQfIZ0v,11575576116,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,379.05,-5.0,False,11,8,161587401.0,13,379.05,04/01/2023,0.0,9978.0,77933.0,1958-02-07,gold,"9,750 - 10000",False,13 - 18,0 - 499,0 - 499,65.0,60-69,8-12
in_1O7T83HfRoBp5g8K089JPtdt,10562398641,monthly,2023-11-01,2023-11-08,2023-11-01,paid,,882.32,-7.0,False,11,8,310425251.0,12,859.0,14/10/2022,0.0,9682.0,25336.0,1985-03-11,silver,"9,500 - 9,749",False,7 - 12,500 - 999,500 - 999,38.0,30-39,8-12
in_1O7T84HfRoBp5g8KC2NT9HjN,10686012597,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,788.0,-5.0,False,11,8,318709701.0,12,788.0,26/10/2022,0.0,,,1991-11-04,gold,,False,7 - 12,500 - 999,500 - 999,31.0,30-39,8-12
in_1O7T86HfRoBp5g8KKji51MWj,10390269996,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,799.0,-5.0,False,11,8,299494701.0,12,799.0,03/10/2022,0.0,,,1986-04-18,gold,,False,7 - 12,500 - 999,500 - 999,37.0,30-39,8-12
in_1O7T86HfRoBp5g8KbsGGfNzh,11578591539,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,559.0,-5.0,False,11,8,356368451.0,12,559.0,10/01/2023,0.0,,,1977-02-23,gold,,False,7 - 12,500 - 999,500 - 999,46.0,40-49,8-12
in_1O7T8AHfRoBp5g8KGbdzoppx,11614153482,monthly,2023-11-01,2023-11-08,2023-11-03,paid,,740.05,-5.0,False,11,8,73649251.0,12,740.05,09/01/2023,0.0,,92421.0,1981-08-08,platinum,,False,7 - 12,500 - 999,500 - 999,42.0,40-49,8-12
